dataset,subject,model,uncertainty_score,coverage,target_coverage,score_cutoff,risk,accuracy,n_covered
BCI_IV_2a,3,v1_lda,max-prob,0.3020833333333333,0.3,0.6855125737299718,0.03448275862068961,0.9655172413793104,87
BCI_IV_2a,3,v1_lda,max-prob,0.3506944444444444,0.35,0.6713519636775495,0.04950495049504955,0.9504950495049505,101
BCI_IV_2a,3,v1_lda,max-prob,0.4027777777777778,0.4,0.6537994288376746,0.051724137931034475,0.9482758620689655,116
BCI_IV_2a,3,v1_lda,max-prob,0.4513888888888889,0.45,0.6296685717812908,0.07692307692307687,0.9230769230769231,130
BCI_IV_2a,3,v1_lda,max-prob,0.5,0.5,0.6055594116147597,0.08333333333333337,0.9166666666666666,144
BCI_IV_2a,3,v1_lda,max-prob,0.5520833333333334,0.55,0.5791486264721493,0.09433962264150941,0.9056603773584906,159
BCI_IV_2a,3,v1_lda,max-prob,0.6006944444444444,0.6,0.561546792123562,0.10982658959537572,0.8901734104046243,173
BCI_IV_2a,3,v1_lda,max-prob,0.6527777777777778,0.65,0.538072196781192,0.12765957446808507,0.8723404255319149,188
BCI_IV_2a,3,v1_lda,max-prob,0.7013888888888888,0.7,0.5191888973998027,0.15841584158415845,0.8415841584158416,202
BCI_IV_2a,3,v1_lda,max-prob,0.75,0.75,0.4984352959011296,0.17129629629629628,0.8287037037037037,216
BCI_IV_2a,3,v1_lda,max-prob,0.8020833333333334,0.8,0.47923329800543885,0.17748917748917747,0.8225108225108225,231
BCI_IV_2a,3,v1_lda,max-prob,0.8506944444444444,0.85,0.45447985699830823,0.17551020408163265,0.8244897959183674,245
BCI_IV_2a,3,v1_lda,max-prob,0.9027777777777778,0.9,0.42820557889808,0.2038461538461539,0.7961538461538461,260
BCI_IV_2a,3,v1_lda,max-prob,0.9513888888888888,0.95,0.39925244501908147,0.22992700729927007,0.7700729927007299,274
BCI_IV_2a,3,v1_lda,max-prob,1.0,1.0,0.2984318420779279,0.23611111111111116,0.7638888888888888,288
BCI_IV_2a,4,v1_lda,max-prob,0.052083333333333336,0.05,0.39878177105873963,0.4666666666666667,0.5333333333333333,15
BCI_IV_2a,4,v1_lda,max-prob,0.10069444444444445,0.1,0.3825574515775341,0.6206896551724138,0.3793103448275862,29
BCI_IV_2a,4,v1_lda,max-prob,0.1527777777777778,0.15,0.37360355617895924,0.5909090909090908,0.4090909090909091,44
BCI_IV_2a,4,v1_lda,max-prob,0.2013888888888889,0.2,0.36550390840648556,0.603448275862069,0.39655172413793105,58
BCI_IV_2a,4,v1_lda,max-prob,0.25,0.25,0.3600437678958149,0.5833333333333333,0.4166666666666667,72
