bin,bin_lower,bin_upper,count,confidence,accuracy,gap,dataset,subject,decoder
5,0.5,0.6000000000000001,0,,,,BCI_IV_2a,9,LDA
6,0.6000000000000001,0.7000000000000001,0,,,,BCI_IV_2a,9,LDA
7,0.7000000000000001,0.8,0,,,,BCI_IV_2a,9,LDA
8,0.8,0.9,0,,,,BCI_IV_2a,9,LDA
9,0.9,1.0,0,,,,BCI_IV_2a,9,LDA
0,0.0,0.1,0,,,,BCI_IV_2a,1,ensemble
1,0.1,0.2,0,,,,BCI_IV_2a,1,ensemble
2,0.2,0.30000000000000004,0,,,,BCI_IV_2a,1,ensemble
3,0.30000000000000004,0.4,4,0.376593715344676,0.0,0.376593715344676,BCI_IV_2a,1,ensemble
4,0.4,0.5,36,0.47294953120664385,0.4722222222222222,0.0007273089844216374,BCI_IV_2a,1,ensemble
5,0.5,0.6000000000000001,80,0.5450571483678172,0.6,0.05494285163218282,BCI_IV_2a,1,ensemble
6,0.6000000000000001,0.7000000000000001,93,0.6524211998827248,0.9247311827956989,0.27230998291297404,BCI_IV_2a,1,ensemble
7,0.7000000000000001,0.8,72,0.7467423819322243,0.9861111111111112,0.23936872917888685,BCI_IV_2a,1,ensemble
8,0.8,0.9,3,0.8187917503226446,1.0,0.18120824967735538,BCI_IV_2a,1,ensemble
9,0.9,1.0,0,,,,BCI_IV_2a,1,ensemble
0,0.0,0.1,0,,,,BCI_IV_2a,2,ensemble
1,0.1,0.2,0,,,,BCI_IV_2a,2,ensemble
2,0.2,0.30000000000000004,107,0.2890606328512125,0.308411214953271,0.019350582102058533,BCI_IV_2a,2,ensemble
3,0.30000000000000004,0.4,168,0.32364127377571766,0.5059523809523809,0.18231110717666327,BCI_IV_2a,2,ensemble
4,0.4,0.5,12,0.44580851244021535,1.0,0.5541914875597846,BCI_IV_2a,2,ensemble
5,0.5,0.6000000000000001,1,0.5364601840662544,1.0,0.4635398159337456,BCI_IV_2a,2,ensemble
6,0.6000000000000001,0.7000000000000001,0,,,,BCI_IV_2a,2,ensemble
7,0.7000000000000001,0.8,0,,,,BCI_IV_2a,2,ensemble
8,0.8,0.9,0,,,,BCI_IV_2a,2,ensemble
9,0.9,1.0,0,,,,BCI_IV_2a,2,ensemble
0,0.0,0.1,0,,,,BCI_IV_2a,3,ensemble
1,0.1,0.2,0,,,,BCI_IV_2a,3,ensemble
2,0.2,0.30000000000000004,0,,,,BCI_IV_2a,3,ensemble
3,0.30000000000000004,0.4,3,0.37387612184456387,0.3333333333333333,0.040542788511230554,BCI_IV_2a,3,ensemble
4,0.4,0.5,28,0.4613976265135237,0.5714285714285714,0.11003094491504772,BCI_IV_2a,3,ensemble
5,0.5,0.6000000000000001,56,0.5536064915975082,0.7321428571428571,0.1785363655453489,BCI_IV_2a,3,ensemble
6,0.6000000000000001,0.7000000000000001,82,0.6577494408933127,0.926829268292683,0.2690798273993703,BCI_IV_2a,3,ensemble
7,0.7000000000000001,0.8,93,0.7484983909623452,0.946236559139785,0.19773816817743983,BCI_IV_2a,3,ensemble
8,0.8,0.9,26,0.8277667133153626,1.0,0.17223328668463744,BCI_IV_2a,3,ensemble
9,0.9,1.0,0,,,,BCI_IV_2a,3,ensemble
0,0.0,0.1,0,,,,BCI_IV_2a,4,ensemble
1,0.1,0.2,0,,,,BCI_IV_2a,4,ensemble
2,0.2,0.30000000000000004,110,0.29074454683064294,0.15454545454545454,0.1361990922851884,BCI_IV_2a,4,ensemble
3,0.30000000000000004,0.4,176,0.33201669439049647,0.39204545454545453,0.06002876015495806,BCI_IV_2a,4,ensemble
4,0.4,0.5,2,0.4073653188266392,1.0,0.5926346811733608,BCI_IV_2a,4,ensemble
5,0.5,0.6000000000000001,0,,,,BCI_IV_2a,4,ensemble
6,0.6000000000000001,0.7000000000000001,0,,,,BCI_IV_2a,4,ensemble
7,0.7000000000000001,0.8,0,,,,BCI_IV_2a,4,ensemble
8,0.8,0.9,0,,,,BCI_IV_2a,4,ensemble
9,0.9,1.0,0,,,,BCI_IV_2a,4,ensemble
0,0.0,0.1,0,,,,BCI_IV_2a,5,ensemble
1,0.1,0.2,0,,,,BCI_IV_2a,5,ensemble
2,0.2,0.30000000000000004,0,,,,BCI_IV_2a,5,ensemble
3,0.30000000000000004,0.4,288,0.37496691452297004,0.2951388888888889,0.07982802563408115,BCI_IV_2a,5,ensemble
4,0.4,0.5,0,,,,BCI_IV_2a,5,ensemble
5,0.5,0.6000000000000001,0,,,,BCI_IV_2a,5,ensemble
6,0.6000000000000001,0.7000000000000001,0,,,,BCI_IV_2a,5,ensemble
7,0.7000000000000001,0.8,0,,,,BCI_IV_2a,5,ensemble
8,0.8,0.9,0,,,,BCI_IV_2a,5,ensemble
9,0.9,1.0,0,,,,BCI_IV_2a,5,ensemble
0,0.0,0.1,0,,,,BCI_IV_2a,6,ensemble
1,0.1,0.2,0,,,,BCI_IV_2a,6,ensemble
2,0.2,0.30000000000000004,5,0.294125394972899,0.4,0.105874605027101,BCI_IV_2a,6,ensemble
3,0.30000000000000004,0.4,175,0.35431319795711497,0.18857142857142858,0.16574176938568638,BCI_IV_2a,6,ensemble
4,0.4,0.5,107,0.4423618241573788,0.3925233644859813,0.049838459671397495,BCI_IV_2a,6,ensemble
5,0.5,0.6000000000000001,1,0.5031751335275243,1.0,0.4968248664724757,BCI_IV_2a,6,ensemble
6,0.6000000000000001,0.7000000000000001,0,,,,BCI_IV_2a,6,ensemble
7,0.7000000000000001,0.8,0,,,,BCI_IV_2a,6,ensemble
8,0.8,0.9,0,,,,BCI_IV_2a,6,ensemble
9,0.9,1.0,0,,,,BCI_IV_2a,6,ensemble
0,0.0,0.1,0,,,,BCI_IV_2a,7,ensemble
1,0.1,0.2,0,,,,BCI_IV_2a,7,ensemble
2,0.2,0.30000000000000004,0,,,,BCI_IV_2a,7,ensemble
3,0.30000000000000004,0.4,83,0.37717965679151294,0.6265060240963856,0.24932636730487262,BCI_IV_2a,7,ensemble
4,0.4,0.5,116,0.4432222287258967,0.6982758620689655,0.2550536333430688,BCI_IV_2a,7,ensemble
5,0.5,0.6000000000000001,76,0.5452853730708793,0.8421052631578947,0.29681989008701537,BCI_IV_2a,7,ensemble
6,0.6000000000000001,0.7000000000000001,13,0.6355943515032277,1.0,0.36440564849677226,BCI_IV_2a,7,ensemble
7,0.7000000000000001,0.8,0,,,,BCI_IV_2a,7,ensemble
8,0.8,0.9,0,,,,BCI_IV_2a,7,ensemble
9,0.9,1.0,0,,,,BCI_IV_2a,7,ensemble
0,0.0,0.1,0,,,,BCI_IV_2a,8,ensemble
1,0.1,0.2,0,,,,BCI_IV_2a,8,ensemble
2,0.2,0.30000000000000004,3,0.2936904934565328,0.6666666666666666,0.3729761732101338,BCI_IV_2a,8,ensemble
3,0.30000000000000004,0.4,122,0.35875417577974833,0.5081967213114754,0.1494425455317271,BCI_IV_2a,8,ensemble
4,0.4,0.5,76,0.43782339208829163,0.4868421052631579,0.04901871317486628,BCI_IV_2a,8,ensemble
5,0.5,0.6000000000000001,48,0.5522510033132327,0.4791666666666667,0.07308433664656605,BCI_IV_2a,8,ensemble
6,0.6000000000000001,0.7000000000000001,35,0.6503511995647026,0.8571428571428571,0.20679165757815454,BCI_IV_2a,8,ensemble
7,0.7000000000000001,0.8,4,0.7332222277806977,1.0,0.2667777722193023,BCI_IV_2a,8,ensemble
8,0.8,0.9,0,,,,BCI_IV_2a,8,ensemble
9,0.9,1.0,0,,,,BCI_IV_2a,8,ensemble
0,0.0,0.1,0,,,,BCI_IV_2a,9,ensemble
1,0.1,0.2,0,,,,BCI_IV_2a,9,ensemble
2,0.2,0.30000000000000004,8,0.2914507945665067,0.125,0.1664507945665067,BCI_IV_2a,9,ensemble
3,0.30000000000000004,0.4,91,0.35920047992353304,0.37362637362637363,0.014425893702840586,BCI_IV_2a,9,ensemble
4,0.4,0.5,158,0.44642983349015186,0.5443037974683544,0.09787396397820258,BCI_IV_2a,9,ensemble
5,0.5,0.6000000000000001,7,0.5085760059393644,0.7142857142857143,0.20570970834634994,BCI_IV_2a,9,ensemble
6,0.6000000000000001,0.7000000000000001,0,,,,BCI_IV_2a,9,ensemble
7,0.7000000000000001,0.8,0,,,,BCI_IV_2a,9,ensemble
8,0.8,0.9,0,,,,BCI_IV_2a,9,ensemble
9,0.9,1.0,0,,,,BCI_IV_2a,9,ensemble
