dataset,subject,decoder,threshold,coverage,risk,accuracy,n_covered
BCI_IV_2a,7,EEGNet,0.5,0.9548611111111112,0.3054545454545455,0.6945454545454546,275
BCI_IV_2a,7,EEGNet,0.55,0.8263888888888888,0.2773109243697479,0.7226890756302521,238
BCI_IV_2a,7,EEGNet,0.6,0.7083333333333334,0.2696078431372549,0.7303921568627451,204
BCI_IV_2a,7,EEGNet,0.65,0.6215277777777778,0.24022346368715083,0.7597765363128491,179
BCI_IV_2a,7,EEGNet,0.7,0.53125,0.22875816993464052,0.7712418300653595,153
BCI_IV_2a,7,EEGNet,0.75,0.4375,0.21428571428571427,0.7857142857142857,126
BCI_IV_2a,7,EEGNet,0.8,0.3611111111111111,0.18269230769230768,0.8173076923076923,104
BCI_IV_2a,7,EEGNet,0.85,0.2604166666666667,0.12,0.88,75
BCI_IV_2a,7,EEGNet,0.9,0.18055555555555555,0.09615384615384616,0.9038461538461539,52
BCI_IV_2a,7,EEGNet,0.95,0.1111111111111111,0.0625,0.9375,32
BCI_IV_2a,7,EEGNet,1.0,0.0,,,0
BCI_IV_2a,8,EEGNet,0.0,1.0,0.2465277777777778,0.7534722222222222,288
BCI_IV_2a,8,EEGNet,0.05,1.0,0.2465277777777778,0.7534722222222222,288
BCI_IV_2a,8,EEGNet,0.1,1.0,0.2465277777777778,0.7534722222222222,288
BCI_IV_2a,8,EEGNet,0.15,1.0,0.2465277777777778,0.7534722222222222,288
BCI_IV_2a,8,EEGNet,0.2,1.0,0.2465277777777778,0.7534722222222222,288
BCI_IV_2a,8,EEGNet,0.25,1.0,0.2465277777777778,0.7534722222222222,288
BCI_IV_2a,8,EEGNet,0.3,0.9965277777777778,0.24390243902439024,0.7560975609756098,287
BCI_IV_2a,8,EEGNet,0.35,0.9965277777777778,0.24390243902439024,0.7560975609756098,287
BCI_IV_2a,8,EEGNet,0.4,0.9756944444444444,0.23487544483985764,0.7651245551601423,281
BCI_IV_2a,8,EEGNet,0.45,0.9479166666666666,0.23076923076923078,0.7692307692307693,273
BCI_IV_2a,8,EEGNet,0.5,0.9097222222222222,0.21374045801526717,0.7862595419847328,262
BCI_IV_2a,8,EEGNet,0.55,0.8229166666666666,0.189873417721519,0.810126582278481,237
BCI_IV_2a,8,EEGNet,0.6,0.7326388888888888,0.17061611374407584,0.8293838862559242,211
BCI_IV_2a,8,EEGNet,0.65,0.65625,0.14814814814814814,0.8518518518518519,189
BCI_IV_2a,8,EEGNet,0.7,0.5798611111111112,0.1437125748502994,0.8562874251497006,167
BCI_IV_2a,8,EEGNet,0.75,0.5173611111111112,0.14093959731543623,0.8590604026845637,149
BCI_IV_2a,8,EEGNet,0.8,0.4583333333333333,0.13636363636363635,0.8636363636363636,132
BCI_IV_2a,8,EEGNet,0.85,0.3958333333333333,0.13157894736842105,0.868421052631579,114
BCI_IV_2a,8,EEGNet,0.9,0.3194444444444444,0.10869565217391304,0.8913043478260869,92
BCI_IV_2a,8,EEGNet,0.95,0.2222222222222222,0.09375,0.90625,64
BCI_IV_2a,8,EEGNet,1.0,0.0,,,0
BCI_IV_2a,9,EEGNet,0.0,1.0,0.22727272727272727,0.7727272727272727,264
BCI_IV_2a,9,EEGNet,0.05,1.0,0.22727272727272727,0.7727272727272727,264
BCI_IV_2a,9,EEGNet,0.1,1.0,0.22727272727272727,0.7727272727272727,264
BCI_IV_2a,9,EEGNet,0.15,1.0,0.22727272727272727,0.7727272727272727,264
BCI_IV_2a,9,EEGNet,0.2,1.0,0.22727272727272727,0.7727272727272727,264
BCI_IV_2a,9,EEGNet,0.25,1.0,0.22727272727272727,0.7727272727272727,264
BCI_IV_2a,9,EEGNet,0.3,1.0,0.22727272727272727,0.7727272727272727,264
BCI_IV_2a,9,EEGNet,0.35,1.0,0.22727272727272727,0.7727272727272727,264
BCI_IV_2a,9,EEGNet,0.4,1.0,0.22727272727272727,0.7727272727272727,264
BCI_IV_2a,9,EEGNet,0.45,0.9772727272727273,0.22868217054263565,0.7713178294573644,258
BCI_IV_2a,9,EEGNet,0.5,0.928030303030303,0.2163265306122449,0.7836734693877551,245
BCI_IV_2a,9,EEGNet,0.55,0.8825757575757576,0.20600858369098712,0.7939914163090128,233
BCI_IV_2a,9,EEGNet,0.6,0.8257575757575758,0.18807339449541285,0.8119266055045872,218
BCI_IV_2a,9,EEGNet,0.65,0.7651515151515151,0.16831683168316833,0.8316831683168316,202
BCI_IV_2a,9,EEGNet,0.7,0.7045454545454546,0.16666666666666666,0.8333333333333334,186
BCI_IV_2a,9,EEGNet,0.75,0.6287878787878788,0.12650602409638553,0.8734939759036144,166
BCI_IV_2a,9,EEGNet,0.8,0.5454545454545454,0.09027777777777778,0.9097222222222222,144
BCI_IV_2a,9,EEGNet,0.85,0.48863636363636365,0.06976744186046512,0.9302325581395349,129
BCI_IV_2a,9,EEGNet,0.9,0.39015151515151514,0.04854368932038835,0.9514563106796117,103
BCI_IV_2a,9,EEGNet,0.95,0.25757575757575757,0.04411764705882353,0.9558823529411765,68
BCI_IV_2a,9,EEGNet,1.0,0.0,,,0
BCI_IV_2a,1,LDA,0.0,1.0,0.2743055555555556,0.7256944444444444,288
BCI_IV_2a,1,LDA,0.05,1.0,0.2743055555555556,0.7256944444444444,288
BCI_IV_2a,1,LDA,0.1,1.0,0.2743055555555556,0.7256944444444444,288
BCI_IV_2a,1,LDA,0.15,1.0,0.2743055555555556,0.7256944444444444,288
BCI_IV_2a,1,LDA,0.2,1.0,0.2743055555555556,0.7256944444444444,288
BCI_IV_2a,1,LDA,0.25,1.0,0.2743055555555556,0.7256944444444444,288
BCI_IV_2a,1,LDA,0.3,0.9930555555555556,0.2727272727272727,0.7272727272727273,286
BCI_IV_2a,1,LDA,0.35,0.9756944444444444,0.2597864768683274,0.7402135231316725,281
BCI_IV_2a,1,LDA,0.4,0.9270833333333334,0.23220973782771537,0.7677902621722846,267
BCI_IV_2a,1,LDA,0.45,0.8298611111111112,0.20920502092050208,0.7907949790794979,239
BCI_IV_2a,1,LDA,0.5,0.6736111111111112,0.16494845360824742,0.8350515463917526,194
BCI_IV_2a,1,LDA,0.55,0.5486111111111112,0.1518987341772152,0.8481012658227848,158
BCI_IV_2a,1,LDA,0.6,0.4375,0.14285714285714285,0.8571428571428571,126
BCI_IV_2a,1,LDA,0.65,0.3090277777777778,0.06741573033707865,0.9325842696629213,89
BCI_IV_2a,1,LDA,0.7,0.18055555555555555,0.0,1.0,52
BCI_IV_2a,1,LDA,0.75,0.11458333333333333,0.0,1.0,33
BCI_IV_2a,1,LDA,0.8,0.05555555555555555,0.0,1.0,16
BCI_IV_2a,1,LDA,0.85,0.010416666666666666,0.0,1.0,3
BCI_IV_2a,1,LDA,0.9,0.0,,,0
BCI_IV_2a,1,LDA,0.95,0.0,,,0
BCI_IV_2a,1,LDA,1.0,0.0,,,0
BCI_IV_2a,2,LDA,0.0,1.0,0.75,0.25,288
BCI_IV_2a,2,LDA,0.05,1.0,0.75,0.25,288
BCI_IV_2a,2,LDA,0.1,1.0,0.75,0.25,288
BCI_IV_2a,2,LDA,0.15,1.0,0.75,0.25,288
BCI_IV_2a,2,LDA,0.2,1.0,0.75,0.25,288
BCI_IV_2a,2,LDA,0.25,1.0,0.75,0.25,288
BCI_IV_2a,2,LDA,0.3,1.0,0.75,0.25,288
BCI_IV_2a,2,LDA,0.35,1.0,0.75,0.25,288
BCI_IV_2a,2,LDA,0.4,1.0,0.75,0.25,288
BCI_IV_2a,2,LDA,0.45,0.9930555555555556,0.7482517482517482,0.2517482517482518,286
BCI_IV_2a,2,LDA,0.5,0.8854166666666666,0.7176470588235294,0.2823529411764706,255
BCI_IV_2a,2,LDA,0.55,0.4861111111111111,0.5857142857142857,0.4142857142857143,140
BCI_IV_2a,2,LDA,0.6,0.04513888888888889,0.07692307692307693,0.9230769230769231,13
BCI_IV_2a,2,LDA,0.65,0.0,,,0
BCI_IV_2a,2,LDA,0.7,0.0,,,0
BCI_IV_2a,2,LDA,0.75,0.0,,,0
BCI_IV_2a,2,LDA,0.8,0.0,,,0
BCI_IV_2a,2,LDA,0.85,0.0,,,0
BCI_IV_2a,2,LDA,0.9,0.0,,,0
BCI_IV_2a,2,LDA,0.95,0.0,,,0
BCI_IV_2a,2,LDA,1.0,0.0,,,0
BCI_IV_2a,3,LDA,0.0,1.0,0.2361111111111111,0.7638888888888888,288
BCI_IV_2a,3,LDA,0.05,1.0,0.2361111111111111,0.7638888888888888,288
BCI_IV_2a,3,LDA,0.1,1.0,0.2361111111111111,0.7638888888888888,288
BCI_IV_2a,3,LDA,0.15,1.0,0.2361111111111111,0.7638888888888888,288
BCI_IV_2a,3,LDA,0.2,1.0,0.2361111111111111,0.7638888888888888,288
BCI_IV_2a,3,LDA,0.25,1.0,0.2361111111111111,0.7638888888888888,288
BCI_IV_2a,3,LDA,0.3,0.9965277777777778,0.23344947735191637,0.7665505226480837,287
BCI_IV_2a,3,LDA,0.35,0.9826388888888888,0.22968197879858657,0.7703180212014135,283
BCI_IV_2a,3,LDA,0.4,0.9375,0.2222222222222222,0.7777777777777778,270
BCI_IV_2a,3,LDA,0.45,0.8680555555555556,0.188,0.812,250
BCI_IV_2a,3,LDA,0.5,0.7465277777777778,0.16744186046511628,0.8325581395348837,215
BCI_IV_2a,3,LDA,0.55,0.6284722222222222,0.12154696132596685,0.8784530386740331,181
BCI_IV_2a,3,LDA,0.6,0.5069444444444444,0.08904109589041095,0.910958904109589,146
BCI_IV_2a,3,LDA,0.65,0.40625,0.05128205128205128,0.9487179487179487,117
BCI_IV_2a,3,LDA,0.7,0.2743055555555556,0.02531645569620253,0.9746835443037974,79
BCI_IV_2a,3,LDA,0.75,0.1875,0.018518518518518517,0.9814814814814815,54
BCI_IV_2a,3,LDA,0.8,0.0763888888888889,0.0,1.0,22
BCI_IV_2a,3,LDA,0.85,0.024305555555555556,0.0,1.0,7
BCI_IV_2a,3,LDA,0.9,0.0,,,0
BCI_IV_2a,3,LDA,0.95,0.0,,,0
BCI_IV_2a,3,LDA,1.0,0.0,,,0
BCI_IV_2a,4,LDA,0.0,1.0,0.75,0.25,288
BCI_IV_2a,4,LDA,0.05,1.0,0.75,0.25,288
BCI_IV_2a,4,LDA,0.1,1.0,0.75,0.25,288
BCI_IV_2a,4,LDA,0.15,1.0,0.75,0.25,288
BCI_IV_2a,4,LDA,0.2,1.0,0.75,0.25,288
BCI_IV_2a,4,LDA,0.25,1.0,0.75,0.25,288
BCI_IV_2a,4,LDA,0.3,1.0,0.75,0.25,288
BCI_IV_2a,4,LDA,0.35,0.4444444444444444,0.6328125,0.3671875,128
BCI_IV_2a,4,LDA,0.4,0.04861111111111111,0.5,0.5,14
BCI_IV_2a,4,LDA,0.45,0.010416666666666666,0.6666666666666666,0.3333333333333333,3
BCI_IV_2a,4,LDA,0.5,0.0,,,0
BCI_IV_2a,4,LDA,0.55,0.0,,,0
BCI_IV_2a,4,LDA,0.6,0.0,,,0
BCI_IV_2a,4,LDA,0.65,0.0,,,0
BCI_IV_2a,4,LDA,0.7,0.0,,,0
BCI_IV_2a,4,LDA,0.75,0.0,,,0
BCI_IV_2a,4,LDA,0.8,0.0,,,0
BCI_IV_2a,4,LDA,0.85,0.0,,,0
BCI_IV_2a,4,LDA,0.9,0.0,,,0
BCI_IV_2a,4,LDA,0.95,0.0,,,0
