run,dataset,subject,model,uncertainty_score,target_coverage,coverage,score_cutoff,selective_accuracy,selective_risk
full_deep_bci_iv_2a_validation_postcal,BCI_IV_2a,5,eegnet_calibrated,max-prob,0.4,0.4027777777777778,0.4051742854843927,0.4482758620689655,0.5517241379310345
full_deep_bci_iv_2a_validation_postcal,BCI_IV_2a,5,eegnet_calibrated,max-prob,0.6,0.6006944444444444,0.3561460335585124,0.4393063583815029,0.5606936416184971
full_deep_bci_iv_2a_validation_postcal,BCI_IV_2a,5,eegnet_calibrated,max-prob,0.8,0.8020833333333334,0.3312644130767699,0.4199134199134199,0.5800865800865801
full_deep_bci_iv_2a_validation_postcal,BCI_IV_2a,5,spatial_uncalibrated,max-prob,0.4,0.4027777777777778,0.4265076253614003,0.5862068965517241,0.4137931034482759
full_deep_bci_iv_2a_validation_postcal,BCI_IV_2a,5,spatial_uncalibrated,max-prob,0.6,0.6006944444444444,0.3799596090525879,0.5144508670520231,0.4855491329479768
full_deep_bci_iv_2a_validation_postcal,BCI_IV_2a,5,spatial_uncalibrated,max-prob,0.8,0.8020833333333334,0.3238659025746447,0.4805194805194805,0.5194805194805194
full_deep_bci_iv_2a_validation_postcal,BCI_IV_2a,5,spatial_calibrated,max-prob,0.4,0.4027777777777778,0.3991890877464707,0.5775862068965517,0.4224137931034483
full_deep_bci_iv_2a_validation_postcal,BCI_IV_2a,5,spatial_calibrated,max-prob,0.6,0.6006944444444444,0.3583715014975469,0.5202312138728323,0.4797687861271676
full_deep_bci_iv_2a_validation_postcal,BCI_IV_2a,5,spatial_calibrated,max-prob,0.8,0.8020833333333334,0.3121308196039855,0.4805194805194805,0.5194805194805194
full_deep_bci_iv_2a_validation_postcal,BCI_IV_2a,5,deep_ensemble_validation_weighted,max-prob,0.4,0.4027777777777778,0.4063807526481981,0.5603448275862069,0.4396551724137931
full_deep_bci_iv_2a_validation_postcal,BCI_IV_2a,5,deep_ensemble_validation_weighted,max-prob,0.6,0.6006944444444444,0.3655425158700455,0.5433526011560693,0.4566473988439307
