run,dataset,subject,model,uncertainty_score,coverage,target_coverage,score_cutoff,risk,accuracy,n_covered
smoke_deep_one_subject,BCI_IV_2a,1,spatial_calibrated,max-prob,0.75,0.75,0.6613205727576418,0.1527777777777778,0.8472222222222222,216
smoke_deep_one_subject,BCI_IV_2a,1,spatial_calibrated,max-prob,0.8020833333333334,0.8,0.6318818594038426,0.1688311688311687,0.8311688311688312,231
smoke_deep_one_subject,BCI_IV_2a,1,spatial_calibrated,max-prob,0.8506944444444444,0.85,0.5919928814996813,0.1755102040816326,0.8244897959183674,245
smoke_deep_one_subject,BCI_IV_2a,1,spatial_calibrated,max-prob,0.9027777777777778,0.9,0.5557065535121704,0.1884615384615384,0.8115384615384615,260
smoke_deep_one_subject,BCI_IV_2a,1,spatial_calibrated,max-prob,0.9513888888888888,0.95,0.5183677077158377,0.2116788321167882,0.7883211678832117,274
smoke_deep_one_subject,BCI_IV_2a,1,spatial_calibrated,max-prob,1.0,1.0,0.3871845815952835,0.2222222222222222,0.7777777777777778,288
smoke_deep_one_subject,BCI_IV_2a,1,deep_ensemble_validation_weighted,max-prob,0.0520833333333333,0.05,0.9804898890812964,0.1333333333333333,0.8666666666666667,15
smoke_deep_one_subject,BCI_IV_2a,1,deep_ensemble_validation_weighted,max-prob,0.1006944444444444,0.1,0.9427796338728958,0.1724137931034483,0.8275862068965517,29
smoke_deep_one_subject,BCI_IV_2a,1,deep_ensemble_validation_weighted,max-prob,0.1527777777777778,0.15,0.884750602057349,0.159090909090909,0.8409090909090909,44
smoke_deep_one_subject,BCI_IV_2a,1,deep_ensemble_validation_weighted,max-prob,0.2013888888888889,0.2,0.8583464705077913,0.1379310344827586,0.8620689655172413,58
smoke_deep_one_subject,BCI_IV_2a,1,deep_ensemble_validation_weighted,max-prob,0.25,0.25,0.8381211784668003,0.1388888888888888,0.8611111111111112,72
smoke_deep_one_subject,BCI_IV_2a,1,deep_ensemble_validation_weighted,max-prob,0.3020833333333333,0.3,0.8142242342338818,0.1379310344827586,0.8620689655172413,87
smoke_deep_one_subject,BCI_IV_2a,1,deep_ensemble_validation_weighted,max-prob,0.3506944444444444,0.35,0.7955049338042117,0.1584158415841584,0.8415841584158416,101
smoke_deep_one_subject,BCI_IV_2a,1,deep_ensemble_validation_weighted,max-prob,0.4027777777777778,0.4,0.7702791114943718,0.1551724137931034,0.8448275862068966,116
smoke_deep_one_subject,BCI_IV_2a,1,deep_ensemble_validation_weighted,max-prob,0.4513888888888889,0.45,0.7594053387583399,0.1461538461538462,0.8538461538461538,130
smoke_deep_one_subject,BCI_IV_2a,1,deep_ensemble_validation_weighted,max-prob,0.5,0.5,0.7465154467369332,0.1527777777777778,0.8472222222222222,144
smoke_deep_one_subject,BCI_IV_2a,1,deep_ensemble_validation_weighted,max-prob,0.5520833333333334,0.55,0.7189482364724294,0.150943396226415,0.8490566037735849,159
smoke_deep_one_subject,BCI_IV_2a,1,deep_ensemble_validation_weighted,max-prob,0.6006944444444444,0.6,0.7001366009919897,0.1676300578034681,0.8323699421965318,173
smoke_deep_one_subject,BCI_IV_2a,1,deep_ensemble_validation_weighted,max-prob,0.6527777777777778,0.65,0.6824323390857331,0.1595744680851063,0.8404255319148937,188
