run,dataset,subject,model,uncertainty_score,target_coverage,coverage,score_cutoff,selective_accuracy,selective_risk
calibration_ablation_per_model_temp_s2_e10,BCI_IV_2a,2,spatial_uncalibrated,max-prob,0.6,0.6006944444444444,0.4618189738378006,0.6358381502890174,0.3641618497109826
calibration_ablation_per_model_temp_s2_e10,BCI_IV_2a,2,spatial_uncalibrated,max-prob,0.8,0.8020833333333334,0.4068285281952788,0.5974025974025974,0.4025974025974026
calibration_ablation_per_model_temp_s2_e10,BCI_IV_2a,2,spatial_calibrated,max-prob,0.4,0.4027777777777778,0.475161361944489,0.7327586206896551,0.2672413793103448
calibration_ablation_per_model_temp_s2_e10,BCI_IV_2a,2,spatial_calibrated,max-prob,0.6,0.6006944444444444,0.4169113040272102,0.6416184971098265,0.3583815028901734
calibration_ablation_per_model_temp_s2_e10,BCI_IV_2a,2,spatial_calibrated,max-prob,0.8,0.8020833333333334,0.3784403130994789,0.6103896103896104,0.3896103896103896
calibration_ablation_per_model_temp_s2_e10,BCI_IV_2a,2,deep_ensemble_validation_weighted,max-prob,0.4,0.4027777777777778,0.3836728156920474,0.7241379310344828,0.2758620689655172
calibration_ablation_per_model_temp_s2_e10,BCI_IV_2a,2,deep_ensemble_validation_weighted,max-prob,0.6,0.6006944444444444,0.3501032374973284,0.6416184971098265,0.3583815028901734
calibration_ablation_per_model_temp_s2_e10,BCI_IV_2a,2,deep_ensemble_validation_weighted,max-prob,0.8,0.8020833333333334,0.3292810271549786,0.5844155844155844,0.4155844155844156
calibration_ablation_no_temp_s2_e10,BCI_IV_2a,1,v1_lda,max-prob,0.4,0.4027777777777778,0.6115054851370199,0.8620689655172413,0.1379310344827586
calibration_ablation_no_temp_s2_e10,BCI_IV_2a,1,v1_lda,max-prob,0.6,0.6006944444444444,0.5210926359441823,0.8439306358381503,0.1560693641618497
calibration_ablation_no_temp_s2_e10,BCI_IV_2a,1,v1_lda,max-prob,0.8,0.8020833333333334,0.4632013800394881,0.8008658008658008,0.1991341991341991
calibration_ablation_no_temp_s2_e10,BCI_IV_2a,1,eegnet_uncalibrated,max-prob,0.4,0.4027777777777778,0.4491206591784112,0.5086206896551724,0.4913793103448276
calibration_ablation_no_temp_s2_e10,BCI_IV_2a,1,eegnet_uncalibrated,max-prob,0.6,0.6006944444444444,0.4036849834805389,0.5028901734104047,0.4971098265895953
calibration_ablation_no_temp_s2_e10,BCI_IV_2a,1,eegnet_uncalibrated,max-prob,0.8,0.8020833333333334,0.3548824567747541,0.5108225108225108,0.4891774891774891
calibration_ablation_no_temp_s2_e10,BCI_IV_2a,1,spatial_uncalibrated,max-prob,0.4,0.4027777777777778,0.6826042484271346,0.7241379310344828,0.2758620689655172
calibration_ablation_no_temp_s2_e10,BCI_IV_2a,1,spatial_uncalibrated,max-prob,0.6,0.6006944444444444,0.592385024582769,0.7456647398843931,0.2543352601156069
calibration_ablation_no_temp_s2_e10,BCI_IV_2a,1,spatial_uncalibrated,max-prob,0.8,0.8020833333333334,0.5374121373969962,0.7272727272727273,0.2727272727272727
calibration_ablation_no_temp_s2_e10,BCI_IV_2a,1,deep_ensemble_validation_weighted,max-prob,0.4,0.4027777777777778,0.5798238955678602,0.7068965517241379,0.2931034482758621
calibration_ablation_no_temp_s2_e10,BCI_IV_2a,1,deep_ensemble_validation_weighted,max-prob,0.6,0.6006944444444444,0.518111002312442,0.7225433526011561,0.2774566473988439
calibration_ablation_no_temp_s2_e10,BCI_IV_2a,1,deep_ensemble_validation_weighted,max-prob,0.8,0.8020833333333334,0.4770818020530339,0.696969696969697,0.303030303030303
calibration_ablation_no_temp_s2_e10,BCI_IV_2a,2,v1_lda,max-prob,0.4,0.4027777777777778,0.5563305953738215,0.4741379310344827,0.5258620689655172
calibration_ablation_no_temp_s2_e10,BCI_IV_2a,2,v1_lda,max-prob,0.6,0.6006944444444444,0.5384421341504679,0.3468208092485549,0.653179190751445
calibration_ablation_no_temp_s2_e10,BCI_IV_2a,2,v1_lda,max-prob,0.8,0.8020833333333334,0.5136545545131977,0.3073593073593073,0.6926406926406927
calibration_ablation_no_temp_s2_e10,BCI_IV_2a,2,eegnet_uncalibrated,max-prob,0.4,0.4027777777777778,0.2841862731583606,0.4741379310344827,0.5258620689655172
calibration_ablation_no_temp_s2_e10,BCI_IV_2a,2,eegnet_uncalibrated,max-prob,0.6,0.6006944444444444,0.2769212413406928,0.4797687861271676,0.5202312138728324
calibration_ablation_no_temp_s2_e10,BCI_IV_2a,2,eegnet_uncalibrated,max-prob,0.8,0.8020833333333334,0.2697755492084184,0.4415584415584415,0.5584415584415585
calibration_ablation_no_temp_s2_e10,BCI_IV_2a,2,spatial_uncalibrated,max-prob,0.4,0.4027777777777778,0.5369267044376659,0.7327586206896551,0.2672413793103448
calibration_ablation_no_temp_s2_e10,BCI_IV_2a,2,spatial_uncalibrated,max-prob,0.6,0.6006944444444444,0.4618189738378006,0.6358381502890174,0.3641618497109826
