run,dataset,subject,split,model,use_ea,calibrated,uncertainty_score,coverage_target,score_cutoff,n_trials,accuracy_all,macro_f1,brier,ece,selective_accuracy,selective_risk,coverage_observed
moabb_5subj_3datasets_lda,BCI_IV_2a,5,A0xT_to_A0xE,v1_lda,True,True,max-prob,0.6,0.432595368114175,288,0.3055555555555556,0.2072640278381905,0.8768984671065428,0.1320728989709032,0.3063583815028902,0.6936416184971098,0.6006944444444444
moabb_5subj_3datasets_lda,BCI_IV_2a,6,A0xT_to_A0xE,v1_lda,True,True,max-prob,0.6,0.5319579924554659,288,0.25,0.1,0.8584633216808971,0.292135895923152,0.3236994219653179,0.676300578034682,0.6006944444444444
moabb_5subj_3datasets_lda,BCI_IV_2a,7,A0xT_to_A0xE,v1_lda,True,True,max-prob,0.6,0.3867032795702469,288,0.3715277777777778,0.2912243191591017,0.616494081391787,0.1553759622190216,0.5144508670520231,0.4855491329479768,0.6006944444444444
moabb_5subj_3datasets_lda,BCI_IV_2a,8,A0xT_to_A0xE,v1_lda,True,True,max-prob,0.6,0.3922461392974185,288,0.6145833333333334,0.6138784563700577,0.5811393243628447,0.1971776385614611,0.7109826589595376,0.2890173410404624,0.6006944444444444
moabb_5subj_3datasets_lda,BCI_IV_2a,9,A0xT_to_A0xE,v1_lda,True,True,max-prob,0.6,0.3560445501612575,264,0.3825757575757575,0.2978048225659691,0.7288017891068067,0.0378521537626552,0.4528301886792453,0.5471698113207547,0.6022727272727273
moabb_5subj_3datasets_lda,Cho2017,1,stratified_trial_split,v1_lda,True,True,max-prob,0.6,0.5635097257943762,70,0.5571428571428572,0.5219211280017625,0.4768943740828161,0.0553491460667174,0.6428571428571429,0.3571428571428571,0.6
moabb_5subj_3datasets_lda,Cho2017,2,stratified_trial_split,v1_lda,True,True,max-prob,0.6,0.5252275265044403,70,0.4857142857142857,0.4789081885856079,0.5028982515131959,0.0485041180678174,0.5476190476190477,0.4523809523809523,0.6
moabb_5subj_3datasets_lda,Cho2017,3,stratified_trial_split,v1_lda,True,True,max-prob,0.6,0.7000262251444113,70,0.7714285714285715,0.7706797706797707,0.2809551175699408,0.0854361130377121,0.9285714285714286,0.0714285714285714,0.6
moabb_5subj_3datasets_lda,Cho2017,4,stratified_trial_split,v1_lda,True,True,max-prob,0.6,0.6107094629616359,70,0.6428571428571429,0.6427842416819759,0.4469628245370787,0.0145079762185631,0.6904761904761905,0.3095238095238095,0.6
moabb_5subj_3datasets_lda,Cho2017,5,stratified_trial_split,v1_lda,True,True,max-prob,0.6,0.6022352760128374,70,0.7428571428571429,0.7428571428571429,0.3776760544652806,0.0875896896027955,0.8095238095238095,0.1904761904761904,0.6
