dataset,subject,model,uncertainty_score,coverage,target_coverage,score_cutoff,risk,accuracy,n_covered
BCI_IV_2a,6,v1_lda,max-prob,0.8020833333333334,0.8,0.5128326484825559,0.7099567099567099,0.29004329004329005,231
BCI_IV_2a,6,v1_lda,max-prob,0.8506944444444444,0.85,0.5047026012104405,0.7102040816326531,0.2897959183673469,245
BCI_IV_2a,6,v1_lda,max-prob,0.9027777777777778,0.9,0.49706539711853226,0.726923076923077,0.27307692307692305,260
BCI_IV_2a,6,v1_lda,max-prob,0.9513888888888888,0.95,0.4890586100034395,0.7408759124087592,0.2591240875912409,274
BCI_IV_2a,6,v1_lda,max-prob,1.0,1.0,0.4290957091797762,0.75,0.25,288
BCI_IV_2a,7,v1_lda,max-prob,0.052083333333333336,0.05,0.5254747190271807,0.0,1.0,15
BCI_IV_2a,7,v1_lda,max-prob,0.10069444444444445,0.1,0.5021066888318914,0.03448275862068961,0.9655172413793104,29
BCI_IV_2a,7,v1_lda,max-prob,0.1527777777777778,0.15,0.48388971884561044,0.09090909090909094,0.9090909090909091,44
BCI_IV_2a,7,v1_lda,max-prob,0.2013888888888889,0.2,0.4585855072907583,0.1724137931034483,0.8275862068965517,58
BCI_IV_2a,7,v1_lda,max-prob,0.25,0.25,0.4473392963103171,0.23611111111111116,0.7638888888888888,72
BCI_IV_2a,7,v1_lda,max-prob,0.3020833333333333,0.3,0.43467645993624676,0.31034482758620685,0.6896551724137931,87
BCI_IV_2a,7,v1_lda,max-prob,0.3506944444444444,0.35,0.4257180905897668,0.3366336633663366,0.6633663366336634,101
BCI_IV_2a,7,v1_lda,max-prob,0.4027777777777778,0.4,0.4152344472852049,0.3706896551724138,0.6293103448275862,116
BCI_IV_2a,7,v1_lda,max-prob,0.4513888888888889,0.45,0.4031612949999544,0.39230769230769236,0.6076923076923076,130
BCI_IV_2a,7,v1_lda,max-prob,0.5,0.5,0.39750435292318015,0.4375,0.5625,144
BCI_IV_2a,7,v1_lda,max-prob,0.5520833333333334,0.55,0.39263089640911214,0.4591194968553459,0.5408805031446541,159
BCI_IV_2a,7,v1_lda,max-prob,0.6006944444444444,0.6,0.38670282893413505,0.48554913294797686,0.5144508670520231,173
BCI_IV_2a,7,v1_lda,max-prob,0.6527777777777778,0.65,0.38182953972199546,0.5106382978723405,0.48936170212765956,188
BCI_IV_2a,7,v1_lda,max-prob,0.7013888888888888,0.7,0.37715639901428827,0.5297029702970297,0.47029702970297027,202
BCI_IV_2a,7,v1_lda,max-prob,0.75,0.75,0.3733216266454428,0.5462962962962963,0.4537037037037037,216
BCI_IV_2a,7,v1_lda,max-prob,0.8020833333333334,0.8,0.36829728265363,0.5627705627705628,0.43722943722943725,231
BCI_IV_2a,7,v1_lda,max-prob,0.8506944444444444,0.85,0.3617064849660665,0.5836734693877551,0.4163265306122449,245
BCI_IV_2a,7,v1_lda,max-prob,0.9027777777777778,0.9,0.3567943896729106,0.6076923076923078,0.3923076923076923,260
BCI_IV_2a,7,v1_lda,max-prob,0.9513888888888888,0.95,0.3496708732553237,0.6131386861313868,0.38686131386861317,274
BCI_IV_2a,7,v1_lda,max-prob,1.0,1.0,0.3404554362272757,0.6284722222222222,0.3715277777777778,288
BCI_IV_2a,8,v1_lda,max-prob,0.052083333333333336,0.05,0.5918594125513276,0.1333333333333333,0.8666666666666667,15
BCI_IV_2a,8,v1_lda,max-prob,0.10069444444444445,0.1,0.5353977543130694,0.1724137931034483,0.8275862068965517,29
BCI_IV_2a,8,v1_lda,max-prob,0.1527777777777778,0.15,0.47726521439147546,0.25,0.75,44
BCI_IV_2a,8,v1_lda,max-prob,0.2013888888888889,0.2,0.4657297097451298,0.2586206896551724,0.7413793103448276,58
BCI_IV_2a,8,v1_lda,max-prob,0.25,0.25,0.4562366080064626,0.2777777777777778,0.7222222222222222,72
BCI_IV_2a,8,v1_lda,max-prob,0.3020833333333333,0.3,0.4456680496737155,0.25287356321839083,0.7471264367816092,87
BCI_IV_2a,8,v1_lda,max-prob,0.3506944444444444,0.35,0.430530150403555,0.2376237623762376,0.7623762376237624,101
BCI_IV_2a,8,v1_lda,max-prob,0.4027777777777778,0.4,0.42278713599622275,0.23275862068965514,0.7672413793103449,116
BCI_IV_2a,8,v1_lda,max-prob,0.4513888888888889,0.45,0.4165109827596943,0.2384615384615385,0.7615384615384615,130
BCI_IV_2a,8,v1_lda,max-prob,0.5,0.5,0.40788356332255943,0.27083333333333337,0.7291666666666666,144
BCI_IV_2a,8,v1_lda,max-prob,0.5520833333333334,0.55,0.4010312649517693,0.289308176100629,0.710691823899371,159
BCI_IV_2a,8,v1_lda,max-prob,0.6006944444444444,0.6,0.39219363413825564,0.2890173410404624,0.7109826589595376,173
BCI_IV_2a,8,v1_lda,max-prob,0.6527777777777778,0.65,0.38584983733992906,0.3085106382978723,0.6914893617021277,188
BCI_IV_2a,8,v1_lda,max-prob,0.7013888888888888,0.7,0.37703627620250096,0.3168316831683168,0.6831683168316832,202
BCI_IV_2a,8,v1_lda,max-prob,0.75,0.75,0.3658685380497064,0.3194444444444444,0.6805555555555556,216
BCI_IV_2a,8,v1_lda,max-prob,0.8020833333333334,0.8,0.35800329508713685,0.3203463203463204,0.6796536796536796,231
BCI_IV_2a,8,v1_lda,max-prob,0.8506944444444444,0.85,0.3410379276486142,0.3387755102040816,0.6612244897959184,245
BCI_IV_2a,8,v1_lda,max-prob,0.9027777777777778,0.9,0.3288372055940941,0.35,0.65,260
BCI_IV_2a,8,v1_lda,max-prob,0.9513888888888888,0.95,0.30819769343782283,0.36861313868613144,0.6313868613138686,274
